Posting Date,Merchant Name,"Transaction 
Amount","Explanation Category: 
See Guidance Sheet and use drop down list"
20/03/2015,COMMEND UK LTD,720.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
17/03/2015,ISD TELFORD.CO.UK,599.76,Estates - Industrial supplies/equipment
09/03/2015,TRAVIS PERKINS,853.83,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
04/03/2015,MIDLAND JETTING SERVIC,755.51,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
02/03/2015,BOILER SPARES 88,691.20,Estates - Industrial supplies/equipment
16/03/2015,EE MONMOUTH,512.09,Assistance for prisoners working outside the establishment
20/03/2015,DORSET GARDEN MACHINER,2210.39,Gardening Equipment/Services/Supplies for prisoners to gain recognised qualifications in horticulture
20/03/2015,ROMAN GLASS LTD,872.37,Estates - Services for Building/Electrical/Plumbing
20/03/2015,PRINTERBASE,720.00,IT equipment
20/03/2015,ROMAN GLASS LTD,850.00,Estates - Services for Building/Electrical/Plumbing
19/03/2015,BSS BOURNEMOUTH,625.46,Estates - Services for Building/Electrical/Plumbing
10/03/2015,MATRIX ARCHITECTURAL I,979.20,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
10/03/2015,MATRIX ARCHITECTURAL I,664.20,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
26/03/2015,PETLIFE INTERNATIONAL,726.77,Health and Safety Supplies
25/03/2015,C&D (LEEDS) PLUMBERS M,644.21,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
20/03/2015,HARRISON PACKAGING LTD,600.00,Health and Safety Supplies
20/03/2015,ABBEYVETERINARYLTD,518.33,Dogs - Vet Treatment Prison Service (Sniffer Dogs)
04/03/2015,T F AUTOMATION,2548.50,Estates - Services for Building/Electrical/Plumbing
03/03/2015,MANCHESTER PANEL,696.00,Items for offender workshops/industries
06/03/2015,CASHMASTER,554.40,Items for offender workshops/industries
19/03/2015,KINGS CROSS CONTRACTS,1200.96,Estates - Industrial supplies/equipment
23/03/2015,"Amazon Svcs Europe,SAR",1295.00,Educational/Learning/Training - Equipment or Supplies
23/03/2015,VALLEY TRACTION SERVIC,2664.00,Vehicle - Transport
19/03/2015,"Amazon Svcs Europe,SAR",1295.00,Educational/Learning/Training - Equipment or Supplies
12/03/2015,RADIO LINKS COMMUNICAT,633.60,Electronic Equipment
09/03/2015,MOLES SEEDS (UK) LTD,620.04,Gardening Equipment/Services/Supplies for prisoners to gain recognised qualifications in horticulture
31/03/2015,BKP WASTE & RECYLCLING,694.80,Waste disposal products/services including Chemical
16/03/2015,BKP WASTE & RECYLCLING,694.80,Waste disposal products/services including Chemical
10/03/2015,SRBE LTD,555.00,Estates - Industrial supplies/equipment
04/03/2015,WWW.TRACKS-DIRECT.COM,544.35,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
03/03/2015,INTERCOUNTY TRUCK & VA,532.62,Vehicle - New or Repairs and Maintenance
11/03/2015,MICHAEL WILLIAMS ENGIN,500.00,Offender - PPE
11/03/2015,MICHAEL WILLIAMS ENGIN,532.00,Offender - PPE
05/03/2015,"Amazon Svcs Europe,SAR",1177.50,Cleaning & Hygiene supplies
26/03/2015,"Amazon Svcs Europe,SAR",531.43,ICT equipment
03/03/2015,LARKFIELD GLASS ENGRAV,982.20,Staff - Reward and Recognition
04/03/2015,UKBA3783952010,1476.00,Cross departmental charges
27/03/2015,CIVIL SERVICE LEARNING,528.00,Staff - Learing and Development
26/03/2015,Hotel Accommodation,526.14,Hotels are used by senior judges in exceptional circumstances who require appropriate accommodation when hearing long cases far from home and where no alternative is available.
24/03/2015,WWW.PANELWAREHOUSE.COM,712.32,Witness privacy screens 
23/03/2015,Hotel Accommodation,755.53,Hotels are used by senior judges in exceptional circumstances who require appropriate accommodation when hearing long cases far from home and where no alternative is available. 
23/03/2015,Hotel Accommodation,1254.57,Hotels are used by senior judges in exceptional circumstances who require appropriate accommodation when hearing long cases far from home and where no alternative is available.
20/03/2015,EYE NETWORK,769.90,ICT equipment
25/03/2015,WWW.BARPROFESSIONALTRA,536.00,Professional Subscriptions and Membership Fees
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,






























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































