Residuos Urbanos de las e-DMAs E-PRTR 2012;;;;;;;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;CNAE'09;CNAE Ppal;E-PRTR;E-PRTR Ppal;SNAP;SNAP Ppal;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2012;F20025318;ORONA;2000000539;ORONA S.COOP;Hernani;2822;1;2.f;1;040308;1;040299;Residuos no especificados en otra categoría;D15;Urbano;516;KG
2012;A20613253;PAPEL ARALAR;2000007375;PAPEL ARALAR;Amezketa;1712;1;6.b.1;1;040601;1;200303;Residuos de limpieza viaria;D5;Urbano;154460;KG
2012;A20003216;PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A.;2000000174;PAPELERA GUIPUZCOANA DE ZICUÑAGA;Hernani;1712;1;6.a;1;040601;1;200301;Mezclas de residuos municipales;D12;Urbano;212840;KG
2012;F20020517;FAGOR ELECTRODOMESTICOS;2000004895;PLANTA GARAGARTZA;Arrasate/Mondragón;2751;1;2.f;1;040308;1;200108;Residuos biodegradables de cocinas y restaurantes;D1;Urbano;0;KG
2012;A58410176;SARRIOPAPEL Y CELULOSA;2000004709;SARRIO PAPEL -FACTORIA DE URANGA-;Berrobi;1712;1;6.b.1;1;040601;1;200199;Otras fracciones no especificadas en otra categoría;D1;Urbano;0;KG
2012;A20516233;SNA EUROPE INDUSTRIES IBERIA;2000014673;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE IRUN);Irun;2573;1;2.f;1;040308;1;170201;Madera;R13;Urbano;5480;KG
2012;A20516233;SNA EUROPE INDUSTRIES IBERIA;2000014673;SNA EUROPE INDUSTRIES IBERIA, S.A. (PLANTA DE IRUN);Irun;2573;1;2.f;1;040308;1;191201;Papel y cartón;R13;Urbano;18300;KG
2012;A20664785;TALLERES DE ESCORIAZA;2000000649;TESA IRUN;Irun;2572;1;2.f;1;040308;1;150106;Envases mixtos;R13;Urbano;25000;KG
2012;A20664785;TALLERES DE ESCORIAZA;2000000649;TESA IRUN;Irun;2572;1;2.f;1;040308;1;150106;Envases mixtos;D12;Urbano;21920;KG
2012;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000004950;VERTEDERO DE SAN MARCOS;Errenteria;3821;1;5.d;1;090401;1;200301;Mezclas de residuos municipales;D5;Urbano;0;KG
2012;P2000015D;MANCOMUNIDAD MUNICIPAL DE SAN MARCOS;2000004950;VERTEDERO DE SAN MARCOS;Errenteria;3821;1;5.d;1;090401;1;200301;Mezclas de residuos municipales;D15;Urbano;88602440;KG
2012;Q2000539C;MANCOMUNIDAD DE SASIETA;2000003860;Vertedero Sasieta;Beasain;3821;1;5.c;1;090401;1;200301;Mezclas de residuos municipales;R13;Urbano;77533000;KG
2012;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;3821;1;5.d;1;090401;1;200301;Mezclas de residuos municipales;R13;Urbano;70689788;KG
2012;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;3821;1;5.d;1;090401;1;200139;Plásticos;D5;Urbano;2240;KG
2012;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;3821;1;5.d;1;090401;1;200201;Residuos biodegradables;D5;Urbano;9270;KG
2012;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;3821;1;5.d;1;090401;1;200306;Residuos de la limpieza de alcantarillas;D5;Urbano;120700;KG
2012;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;3821;1;5.d;1;090401;1;200303;Residuos de limpieza viaria;D5;Urbano;256460;KG
2012;G20392064;UROLA KOSTAKO UDAL ELKARTEA;2000004098;VERTEDERO URTETA;Zarautz;3821;1;5.d;1;090401;1;200399;Residuos municipales no especificados en otra categoría;D5;Urbano;1549800;KG
2012;B83432930;WILLET CINCUENTA;2000019185;WILLET CINCUENTA, S.L.;Andoain;2561;1;2.f;1;040308;1;200101;Papel y cartón;R13;Urbano;1;KG
2012;B83432930;WILLET CINCUENTA;2000019185;WILLET CINCUENTA, S.L.;Andoain;2561;1;2.f;1;040308;1;200399;Residuos municipales no especificados en otra categoría;D5;Urbano;1;KG
2012;A20099321;ZUBIALDE,S.A.;2000004045;ZUBIALDE S.A.;Aizarnazabal;1711;1;6.a;1;040604;1;200399;Residuos municipales no especificados en otra categoría;R13;Urbano;5000;KG
2012;B83727255;ALCOA TRANSFORMACION DE PRODUCTOS;4800005747;alcoa transformacion de productos  ( Amorebieta );Amorebieta-Etxano;2442;1;2.e.ii;1;030310;1;200108;Residuos biodegradables de cocinas y restaurantes;R13;Urbano;15840;KG
