X,Y,OBJECTID,Cuadricula,GSM_up,GSM_down,UMTS,Latitud,Longitud,Fecha,DDLat,DDLon,GSM,UMTS_1
216466.528084115,3190185.67278718,72,0,-69,-94,-109,28 48 29N,017 54 18W,2013/12/07 00:00:00+00,"28,80806N","017,90500W",GPRS y GSM,Dificultad en la comunicación
217501.113493453,3189205.18719231,73,0,-84,-86,-104,28 47 58N,017 53 39W,2013/12/07 00:00:00+00,"28,79944N","017,89417W",GPRS y GSM,Nivel correcto
218066.847579885,3190146.65036745,74,0,-74,-100,-108,28 48 29N,017 53 19W,2013/12/07 00:00:00+00,"28,80806N","017,88861W",GPRS y GSM,Dificultad en la comunicación
220044.6561494,3190006.28892542,75,0,-94,-99,-108,28 48 26N,017 52 06W,2013/12/07 00:00:00+00,"28,80722N","017,86833W",GPRS y GSM,Dificultad en la comunicación
220405.830259248,3189227.24570333,76,0,-104,-114,-114,28 48 01N,017 51 52W,2013/12/20 00:00:00+00,"28,80028N","017,86444W",no GPRS y no GSM,Nivel insuficiente
220727.630763322,3189065.4278477,77,0,-104,-114,-114,28 47 56N,017 51 40W,2013/12/20 00:00:00+00,"28,79889N","017,86111W",no GPRS y no GSM,Nivel insuficiente
224249.552138101,3189936.3437818,78,0,-99,-99,-104,28 48 27N,017 49 31W,2013/12/20 00:00:00+00,"28,80750N","017,82528W",GPRS y GSM,Nivel correcto
225093.292881958,3190039.55739545,79,0,-99,-99,-109,28 48 31N,017 49 00W,2013/12/20 00:00:00+00,"28,80861N","017,81667W",GPRS y GSM,Dificultad en la comunicación
224282.533597721,3190182.05643246,80,0,-109,-107,-114,28 48 35N,017 49 30W,2013/12/20 00:00:00+00,"28,80972N","017,82500W",no GPRS y no GSM,Nivel insuficiente
227979.531996939,3189293.64343734,81,0,-79,-94,-109,28 48 09N,017 47 13W,2013/12/18 00:00:00+00,"28,80250N","017,78694W",GPRS y GSM,Dificultad en la comunicación
228332.866470499,3189316.17280025,82,0,-74,-79,-104,28 48 10N,017 46 60W,2013/12/18 00:00:00+00,"28,80278N","017,78333W",GPRS y GSM,Nivel correcto
228359.990464269,3189315.53749309,83,0,-74,-64,-104,28 48 10N,017 46 59W,2013/12/18 00:00:00+00,"28,80278N","017,78306W",GPRS y GSM,Nivel correcto
229260.112441126,3189510.16576996,84,0,-74,-64,-99,28 48 17N,017 46 26W,2013/12/17 00:00:00+00,"28,80472N","017,77389W",GPRS y GSM,Nivel correcto
230549.153689552,3188925.55734363,85,0,-79,-89,-104,28 47 59N,017 45 38W,2013/12/17 00:00:00+00,"28,79972N","017,76056W",GPRS y GSM,Nivel correcto
209464.63846375,3189126.35918147,86,0,-99,-99,-114,28 47 49N,017 58 35W,2013/12/03 00:00:00+00,"28,79694N","017,97639W",GPRS y GSM,Nivel insuficiente
209464.63846375,3189126.35918147,87,0,-99,-99,-114,28 47 49N,017 58 35W,2013/12/03 00:00:00+00,"28,79694N","017,97639W",GPRS y GSM,Nivel insuficiente
209778.617569163,3188656.25783317,88,0,-94,-84,-104,28 47 34N,017 58 23W,2013/12/03 00:00:00+00,"28,79278N","017,97306W",GPRS y GSM,Nivel correcto
210913.429556696,3188443.03150662,89,0,-111,-94,-114,28 47 28N,017 57 41W,2013/12/05 00:00:00+00,"28,79111N","017,96139W",no GPRS y dificultad GSM,Nivel insuficiente
211992.48378258,3188169.67318853,90,0,-94,-99,-104,28 47 20N,017 57 01W,2013/12/05 00:00:00+00,"28,78889N","017,95028W",GPRS y GSM,Nivel correcto
213231.110682558,3189957.08939793,91,0,-84,-84,-102,28 48 19N,017 56 17W,2013/12/05 00:00:00+00,"28,80528N","017,93806W",GPRS y GSM,Nivel correcto
214848.779478876,3189516.60656952,92,0,-74,-74,-104,28 48 06N,017 55 17W,2013/12/05 00:00:00+00,"28,80167N","017,92139W",GPRS y GSM,Nivel correcto
215103.399537701,3188832.4277777,93,0,-84,-79,-105,28 47 44N,017 55 07W,2013/12/05 00:00:00+00,"28,79556N","017,91861W",GPRS y GSM,Dificultad en la comunicación
217003.073359867,3188816.74487736,94,0,-94,-99,-109,28 47 45N,017 53 57W,2013/12/07 00:00:00+00,"28,79583N","017,89917W",GPRS y GSM,Dificultad en la comunicación
217547.117610639,3188865.11373509,95,0,-94,-98,-109,28 47 47N,017 53 37W,2013/12/07 00:00:00+00,"28,79639N","017,89361W",GPRS y GSM,Dificultad en la comunicación
218204.150702082,3189095.64466574,96,0,-84,-99,-108,28 47 55N,017 53 13W,2013/12/07 00:00:00+00,"28,79861N","017,88694W",GPRS y GSM,Dificultad en la comunicación
219670.458921232,3189121.74206035,97,0,-84,-94,-106,28 47 57N,017 52 19W,2013/12/07 00:00:00+00,"28,79917N","017,87194W",GPRS y GSM,Dificultad en la comunicación
221193.696943894,3188129.82945334,98,0,-109,-114,-114,28 47 26N,017 51 22W,2013/12/20 00:00:00+00,"28,79056N","017,85611W",no GPRS y no GSM,Nivel insuficiente
221803.066817284,3188639.01984412,99,0,-109,-114,-114,28 47 43N,017 51 00W,2013/12/20 00:00:00+00,"28,79528N","017,85000W",no GPRS y no GSM,Nivel insuficiente
221296.535746004,3189020.93188299,100,0,-109,-102,-109,28 47 55N,017 51 19W,2013/12/20 00:00:00+00,"28,79861N","017,85528W",no GPRS y dificultad GSM,Dificultad en la comunicación
223446.085446352,3189246.795207,101,0,-112,-112,-114,28 48 04N,017 50 00W,2013/12/20 00:00:00+00,"28,80111N","017,83333W",no GPRS y no GSM,Nivel insuficiente
224684.332555658,3188816.78153927,102,0,-106,-104,-114,28 47 51N,017 49 14W,2013/12/20 00:00:00+00,"28,79750N","017,82056W",no GPRS y no GSM,Nivel insuficiente
226174.067408197,3188689.0863905,103,0,-106,-104,-114,28 47 48N,017 48 19W,2013/12/20 00:00:00+00,"28,79667N","017,80528W",no GPRS y no GSM,Nivel insuficiente
226562.812263418,3187909.63165254,104,0,-106,-105,-114,28 47 23N,017 48 04W,2013/12/18 00:00:00+00,"28,78972N","017,80111W",no GPRS y no GSM,Nivel insuficiente
227858.753494864,3188772.68804932,105,0,-99,-92,-104,28 47 52N,017 47 17W,2013/12/18 00:00:00+00,"28,79778N","017,78806W",GPRS y GSM,Nivel correcto
229635.385049247,3188145.74385321,106,0,-64,-89,-99,28 47 33N,017 46 11W,2013/12/17 00:00:00+00,"28,79250N","017,76972W",GPRS y GSM,Nivel correcto
230291.43076981,3188346.14868915,107,0,-84,-84,-104,28 47 40N,017 45 47W,2013/12/17 00:00:00+00,"28,79444N","017,76306W",GPRS y GSM,Nivel correcto
207271.021550343,3187178.4177942,108,0,-74,-74,-106,28 46 44N,017 59 54W,2013/12/03 00:00:00+00,"28,77889N","017,99833W",GPRS y GSM,Dificultad en la comunicación
207977.25239269,3187191.44685551,109,0,-74,-74,-104,28 46 45N,017 59 28W,2013/12/03 00:00:00+00,"28,77917N","017,99111W",GPRS y GSM,Nivel correcto
208600.532890205,3187144.96781013,110,0,-99,-94,-104,28 46 44N,017 59 05W,2013/12/03 00:00:00+00,"28,77889N","017,98472W",GPRS y GSM,Nivel correcto
209788.031262226,3187947.25268446,111,0,-74,-74,-104,28 47 11N,017 58 22W,2013/12/03 00:00:00+00,"28,78639N","017,97278W",GPRS y GSM,Nivel correcto
210177.090705274,3188307.32121067,112,0,-99,-99,-104,28 47 23N,017 58 08W,2013/12/05 00:00:00+00,"28,78972N","017,96889W",GPRS y GSM,Nivel correcto
211256.46501635,3186955.3397607,113,0,-99,-94,-104,28 46 40N,017 57 27W,2013/12/20 00:00:00+00,"28,77778N","017,95750W",GPRS y GSM,Nivel correcto
207178.028977657,3187797.09881293,114,0,-94,-99,-104,28 47 04N,017 59 58W,2013/12/05 00:00:00+00,"28,78444N","017,99944W",GPRS y GSM,Nivel correcto
214299.256645479,3188143.46359007,115,0,-94,-99,-105,28 47 21N,017 55 36W,2013/12/05 00:00:00+00,"28,78917N","017,92667W",GPRS y GSM,Dificultad en la comunicación
215487.615756324,3186789.24574299,116,0,-94,-99,-106,28 46 38N,017 54 51W,2013/12/20 00:00:00+00,"28,77722N","017,91417W",GPRS y GSM,Dificultad en la comunicación
217455.986547316,3188466.75192366,117,0,-94,-94,-109,28 47 34N,017 53 40W,2013/12/07 00:00:00+00,"28,79278N","017,89444W",GPRS y GSM,Dificultad en la comunicación
217826.219686736,3186947.86667047,118,0,-94,-94,-109,28 46 45N,017 53 25W,2013/12/07 00:00:00+00,"28,77917N","017,89028W",GPRS y GSM,Dificultad en la comunicación
218180.423888051,3187000.88980128,119,0,-94,-94,-109,28 46 47N,017 53 12W,2013/12/07 00:00:00+00,"28,77972N","017,88667W",GPRS y GSM,Dificultad en la comunicación
219511.341109707,3187030.28233487,120,0,-94,-96,-110,28 46 49N,017 52 23W,2013/12/01 00:00:00+00,"28,78028N","017,87306W",GPRS y GSM,Dificultad en la comunicación
220568.705089818,3186973.96894327,121,0,-106,-104,-114,28 46 48N,017 51 44W,2013/12/20 00:00:00+00,"28,78000N","017,86222W",no GPRS y no GSM,Nivel insuficiente
221465.500883018,3187014.04225315,122,0,-112,-112,-114,28 46 50N,017 51 11W,2013/12/20 00:00:00+00,"28,78056N","017,85306W",no GPRS y no GSM,Nivel insuficiente
222634.32281681,3187078.49337758,123,0,-112,-112,-114,28 46 53N,017 50 28W,2013/12/20 00:00:00+00,"28,78139N","017,84111W",no GPRS y no GSM,Nivel insuficiente
223883.04436561,3187079.53537604,124,0,-106,-106,-114,28 46 54N,017 49 42W,2013/12/20 00:00:00+00,"28,78167N","017,82833W",no GPRS y no GSM,Nivel insuficiente
228123.944243389,3187349.16455376,125,0,-79,-94,-104,28 47 06N,017 47 06W,2013/12/18 00:00:00+00,"28,78500N","017,78500W",GPRS y GSM,Nivel correcto
228123.944243389,3187349.16455376,126,0,-79,-94,-104,28 47 06N,017 47 06W,2013/12/19 00:00:00+00,"28,78500N","017,78500W",GPRS y GSM,Nivel correcto
228123.944243389,3187349.16455376,127,0,-79,-94,-99,28 47 06N,017 47 06W,2013/12/19 00:00:00+00,"28,78500N","017,78500W",GPRS y GSM,Nivel correcto
229321.036062202,3186304.43532323,128,0,-64,-74,-102,28 46 33N,017 46 21W,2013/12/19 00:00:00+00,"28,77583N","017,77250W",GPRS y GSM,Nivel correcto
228948.589945342,3187792.03821596,129,0,-84,-86,-104,28 47 21N,017 46 36W,2013/12/18 00:00:00+00,"28,78917N","017,77667W",GPRS y GSM,Nivel correcto
230188.574016934,3187424.22744676,130,0,-84,-79,-102,28 47 10N,017 45 50W,2013/12/18 00:00:00+00,"28,78611N","017,76389W",GPRS y GSM,Nivel correcto
230188.574016934,3187424.22744676,131,0,-84,-79,-104,28 47 10N,017 45 50W,2013/12/18 00:00:00+00,"28,78611N","017,76389W",GPRS y GSM,Nivel correcto
208344.68204082,3187767.72198073,132,0,-74,-74,-104,28 47 04N,017 59 15W,2013/12/03 00:00:00+00,"28,78444N","017,98750W",GPRS y GSM,Nivel correcto
208344.68204082,3187767.72198073,133,0,-74,-74,-104,28 47 04N,017 59 15W,2013/12/03 00:00:00+00,"28,78444N","017,98750W",GPRS y GSM,Nivel correcto
208229.96291539,3187524.0735514,134,0,-72,-74,-104,28 46 56N,017 59 19W,2013/12/03 00:00:00+00,"28,78222N","017,98861W",GPRS y GSM,Nivel correcto
209074.140261809,3187626.1485843,135,0,-89,-96,-112,28 47 00N,017 58 48W,2013/12/03 00:00:00+00,"28,78333N","017,98000W",GPRS y GSM,Dificultad en la comunicación
210085.909304252,3186830.43334646,136,0,-99,-74,-104,28 46 35N,017 58 10W,2013/12/03 00:00:00+00,"28,77639N","017,96944W",GPRS y GSM,Nivel correcto
211556.455101196,3187009.51328942,137,0,-64,-74,-92,28 46 42N,017 57 16W,2013/12/03 00:00:00+00,"28,77833N","017,95444W",GPRS y GSM,Nivel correcto
212527.886065428,3186769.71053992,138,0,-99,-66,-99,28 46 35N,017 56 40W,2013/12/03 00:00:00+00,"28,77639N","017,94444W",GPRS y GSM,Nivel correcto
213753.419255855,3186924.31920359,139,0,-99,-66,-98,28 46 41N,017 55 55W,2013/12/03 00:00:00+00,"28,77806N","017,93194W",GPRS y GSM,Nivel correcto
213179.074864052,3186753.60477652,140,0,-89,-74,-94,28 46 35N,017 56 16W,2013/12/03 00:00:00+00,"28,77639N","017,93778W",GPRS y GSM,Nivel correcto
215553.242784482,3188359.17232392,141,0,-94,-99,-110,28 47 29N,017 54 50W,2013/12/07 00:00:00+00,"28,79139N","017,91389W",GPRS y GSM,Dificultad en la comunicación
215380.596526794,3186853.49774264,142,0,-109,-102,-110,28 46 40N,017 54 55W,2013/11/27 00:00:00+00,"28,77778N","017,91528W",no GPRS y dificultad GSM,Dificultad en la comunicación
217477.257577029,3187110.42328346,143,0,-106,-105,-114,28 46 50N,017 53 38W,2013/11/27 00:00:00+00,"28,78056N","017,89389W",no GPRS y no GSM,Nivel insuficiente
