Site,Account,Cost 2015/16,Cost 2016/17,Consumption 2015/16,Consumption 2016/17
Primary School - Pool-in-Wharfedale Church of England  ,Electricity - 10007610,"£5,735.20","£5,024.92","50,200","46,114"
Primary School - Primrose Lane  ,Electricity - 10008510,"£1,021.42","£1,094.67","8,515","9,253"
Primary School - Primrose Lane  ,Electricity - 10008509,"£7,695.68","£6,513.49","57,164","49,828"
Primary School - Primrose Lane  ,Electricity - 10009025,£34.40,£22.87,0,0
Primary School - Pudsey Lowtown  ,Electricity - 10007622,"£9,046.63","£5,944.49","65,546","46,217"
Primary School - Pudsey Primrose Hill   ,Electricity - 10002422,"£21,020.78","£18,975.62","174,868","145,436"
Primary School - Quarry Mount  ,Electricity - 10140754,"£4,359.07","£9,545.73","32,381","74,161"
Primary School - Queensway  ,Electricity - 10002471,"£9,929.46","£10,113.38","77,724","70,950"
Primary School - Rawdon St Peters Church of England  ,Electricity - 10007500,"£2,011.03","£1,731.99","17,319","15,734"
Primary School - Rawdon St Peters Church of England  ,Electricity - 10007499,"£3,596.69","£3,085.34","32,093","28,087"
Primary School - Rawdon St Peters Church of England  ,Electricity - 10007501,"£9,325.77","£5,691.28","81,959","52,931"
Primary School - Raynville  ,Electricity - 10012185,"£17,971.19","£14,379.02","132,656","108,933"
Primary School - Richmond Hill  ,Electricity - 10002733,"£28,488.60","£51,979.08","235,620","425,297"
Primary School - Robin Hood  ,Electricity - 10012063,"£15,722.94","£13,981.93","115,728","104,040"
Primary School - Rosebank  ,Electricity - 10008835,"£16,827.21","£13,841.49","126,605","107,419"
Primary School - Rothwell Haigh Road Infant  ,Electricity - 10140916,"£6,931.04","£5,910.07","50,860","45,719"
Primary School - Rothwell St Marys Catholic  ,Electricity - 10008150,"£5,334.99","£4,580.60","47,115","42,488"
Primary School - Rothwell Victoria Junior  ,Electricity - 10008153,"£5,747.18","£4,619.79","42,338","35,518"
Primary School - Rothwell Victoria Junior  ,Electricity - 10008155,"£2,262.12","£2,250.35","16,617","17,006"
Primary School - Rothwell Victoria Junior  ,Electricity - 10008154,£40.14,£22.06,0,0
Primary School - Roundhay Campus  ,Electricity - 10002879,"£25,655.74","£27,765.71","207,126","215,648"
Primary School - Roundhay St Johns Church of England Primary and Nursery  ,Electricity - 10009019,,"£5,388.25",,"50,989"
Primary School - Sacred Heart Catholic  ,Electricity - 10007919,"£7,666.38","£5,668.80","62,443","50,927"
Primary School - Scholes (Elmet)  ,Electricity - 10002418,"£12,714.54","£12,159.52","111,109","88,265"
Primary School - Seacroft Grange  ,Electricity - 10012155,"£12,243.24","£11,250.39","98,484","82,122"
Primary School - Seven Hills  ,Electricity - 10012180,"£13,108.83","£13,130.84","105,769","100,523"
Primary School - Shadwell  ,Electricity - 10008243,"£12,128.33","£9,818.55","89,668","76,141"
Primary School - Shadwell  ,Electricity - 10008242,£646.65,£448.76,"5,351","3,805"
